category,fact
Science,"Antibiotics are only effective against bacteria, not viruses."
Space,"Mars has the largest dust storms in the solar system, which can cover the entire planet."
History,"The Library of Alexandria was one of the largest and most significant libraries of the ancient world."
Biology,"Sharks are older than trees; shark species have been around for more than 400 million years."
Technology,"Blockchain technology is the backbone of cryptocurrencies, allowing digital information to be distributed but not copied."
Geography,"The Dead Sea is the lowest point on Earth's surface on dry land."
Mathematics,"Euler's identity,
�
�
�
+
1
=
0
e
iπ
 +1=0, is often cited as an example of mathematical beauty."
Literature,"Shakespeare's works are credited with introducing over 1,700 words to the English language."
Sports,"The longest tennis match in history lasted 11 hours and 5 minutes, played over three days at Wimbledon in 2010."
Music,"Beethoven's Symphony No. 9 was the first major symphony to incorporate vocal soloists and a chorus in the final movement."
Animals,"The Argentine Lake Duck has the longest penis of any bird, measuring as much as 17 inches."
Cinema,"The first film to ever receive an X rating was the 1968 film 'Greetings'."
Food,"The durian fruit is known as the 'king of fruits' and is famous for its strong odor."
Art,"The color wheel was invented by Isaac Newton in 1666 during his experiments with prisms."
Economics,"Adam Smith is often known as the father of economics for his works on capitalism, most notably 'The Wealth of Nations'."
Physics,"Schrodinger's cat is a thought experiment that illustrates the principle of superposition in quantum mechanics."
Chemistry,"The only letter not in the periodic table is J."
Medical,"The placebo effect is a beneficial effect produced by a placebo drug or treatment, which cannot be attributed to the properties of the placebo itself."
Environmental,"The Great Barrier Reef is the world's largest coral reef system and can be seen from space."
Psychology,"Freud's theory of the unconscious mind revolutionized how we understand human behavior and mental processes."
Linguistics,"Noam Chomsky's theory of Universal Grammar suggests that the ability to acquire language is innate to humans."
Astronomy,"A light-year is the distance light travels in one Earth year, about 9.461 trillion kilometers."
Entertainment,"The first color broadcast of the Tournament of Roses Parade in 1954 is considered the official birth of widespread color television."
Political Science,"The concept of the 'social contract' suggests that people live together in society in accordance with an agreement that establishes moral and political rules of behavior."
Sociology,"The bystander effect is a social psychological claim that individuals are less likely to offer help to a victim when other people are present."
Philosophy,"Nietzsche's assertion 'God is dead' refers to the erosion of traditional religious and metaphysical convictions in the modern world."
Fashion,"The first high-heeled shoes were worn by Persian soldiers to ensure stability while shooting arrows from horseback."
Architecture,"The Guggenheim Museum in New York, designed by Frank Lloyd Wright, is one of the 20th century's most important architectural landmarks."
Travel,"Machu Picchu in Peru was voted one of the New Seven Wonders of the World in a worldwide Internet poll."
Gaming,"Super Mario Bros., released in 1985, is one of the best-selling video games of all time, shaping the platformer genre."
Science,"Helium is the only element that was first discovered in the Sun before it was found on Earth."
Space,"A day on Mercury lasts longer than a year on Mercury."
History,"The first known use of the term 'America' dates back to a 1507 map by cartographer Martin Waldseemüller."
Biology,"Some species of turtles can breathe through their butts."
Technology,"The first computer virus was created in 1983 and was called the 'Elk Cloner'."
Geography,"Iceland is growing about 2 cm per year due to tectonic plates moving apart."
Mathematics,"A 'perfect number' is a positive integer that is equal to the sum of its proper divisors, excluding itself. For example, 28 (1+2+4+7+14=28)."
Literature,"'Alice's Adventures in Wonderland' by Lewis Carroll was inspired by a real 10-year-old girl named Alice Liddell."
Sports,"The highest golf course in the world is the Tactu Golf Club in Morococha, Peru, sitting at 14,335 feet above sea level."
Music,"The world's largest functioning violin is over 14 feet tall and was built by master luthier Markneukirchen in Germany."
Animals,"Elephants are the only animals that can't jump."
Cinema,"The longest movie ever made is 'The Cure for Insomnia', lasting 85 hours."
Food,"Peppers' spiciness is measured in Scoville Heat Units (SHU)."
Art,"The first known use of oil painting was by Afghan Buddhist monks in the 7th century."
Economics,"The 'invisible hand', a term coined by Adam Smith, describes the self-regulating behavior of the marketplace."
Physics,"The concept of antimatter was first proposed by Paul Dirac in 1928."
Chemistry,"A 'mole' is a unit in chemistry that represents about 6.022 x 10^23 particles of a substance."
Medical,"The discovery of the structure of DNA in 1953 by Watson and Crick marked a major milestone in understanding genetic information."
Environmental,"More than 80% of the Earth's ocean is unmapped, unobserved, and unexplored."
Psychology,"Cognitive dissonance is the mental discomfort experienced by a person who holds two or more contradictory beliefs, ideas, or values at the same time."
Linguistics,"The word 'set' has the highest number of different meanings in the English language."
Astronomy,"The largest volcano in the solar system is Olympus Mons on Mars, nearly three times the height of Mount Everest."
Entertainment,"The first reality TV show is considered to be 'An American Family', which aired in 1973."
Political Science,"The Treaty of Versailles, signed in 1919, officially ended World War I."
Sociology,"The Hawthorne effect is the alteration of behavior by the subjects of a study due to their awareness of being observed."
Philosophy,"The 'veil of ignorance' is a method of determining the morality of issues proposed by John Rawls."
Fashion,"The miniskirt was first designed by Mary Quant in the 1960s and became an emblem of the youth fashion revolution."
Architecture,"The Hanging Gardens of Babylon, one of the Seven Wonders of the Ancient World, remain the only wonder whose location has not been definitively established."
Travel,"The 'Pole of Inaccessibility' is the point furthest from any ocean, located in China near the Kazakhstan border."
Gaming,"The concept of virtual reality (VR) gaming has been around since the 1960s, but it only became widely accessible in the 21st century."
Science,"Every second, the Sun converts 4 million tons of mass into energy."
Space,"Uranus rotates on its side, making its axial tilt over 97 degrees."
History,"The Rosetta Stone was key in deciphering Egyptian hieroglyphics, leading to a breakthrough in understanding ancient Egyptian culture."
Biology,"The Pacific Giant Octopus is the largest known octopus species, with an arm span of up to 30 feet."
Technology,"The first digital computer, ENIAC (Electronic Numerical Integrator and Computer), weighed over 30 tons and used 18,000 vacuum tubes."
Geography,"Lake Titicaca, located in the Andes on the border of Peru and Bolivia, is the highest navigable lake in the world."
Mathematics,"Benford's Law predicts that in many naturally occurring collections of numbers, the leading digit is likely to be small. For instance, the number 1 appears as the leading significant digit about 30% of the time."
Literature,"The first book ever printed using movable type was the Gutenberg Bible in the 1450s."
Sports,"Nadia Comaneci was the first gymnast to score a perfect 10 in the Olympics, achieving this feat at the 1976 Montreal Olympics."
Music,"The theremin is one of the first electronic musical instruments, played without physical contact by the performer."
Animals,"The box jellyfish is considered one of the most venomous marine creatures, with toxins that can cause heart failure."
Cinema,"'Psycho' by Alfred Hitchcock was the first American film to show a toilet flushing on screen."
Food,"The largest item on any menu in the world is the camel, which is sometimes stuffed with sheep, chickens, fish, and eggs, a dish traditionally served at Bedouin wedding feasts."
Art,"The Sistine Chapel's ceiling, painted by Michelangelo, took approximately 4 years to complete, from 1508 to 1512."
Economics,"The stock market crash of 1929, also known as Black Tuesday, marked the beginning of the Great Depression."
Physics,"Entire galaxies can act as gravitational lenses, bending the path of light passing near them in a phenomenon predicted by Einstein's theory of general relativity."
Chemistry,"Helium was first discovered on the Sun before it was found on Earth, during a solar eclipse in 1868."
Medical,"Jonas Salk developed the first successful polio vaccine in the 1950s."
Environmental,"The Great Pacific Garbage Patch is a collection of marine debris in the North Pacific Ocean, largely consisting of plastics."
Psychology,"Mirror neurons are believed to play a critical role in how we understand the actions of others and learn new skills by imitation."
Linguistics,"The concept of 'linguistic relativity' suggests that the structure of a language influences its speakers' world view or cognition."
Astronomy,"Neutron stars are so dense that a sugar-cube-sized amount of material from one would weigh about as much as all of humanity."
Entertainment,"The longest-running scripted TV show in history is 'The Simpsons', which has been on air since 1989."
Political Science,"The concept of 'soft power' was introduced by Joseph Nye to describe the ability to influence and attract others through culture and political values rather than coercion or payment."
Sociology,"'Global village' is a term coined by Marshall McLuhan, describing how the world has been contracted into a village by electric technology and the instantaneous movement of information from every quarter to every point at the same time."
Philosophy,"Zeno's paradoxes, particularly the paradox of Achilles and the tortoise, challenge the notions of time and motion."
Fashion,"Levi Strauss and Jacob Davis received a patent in 1873 for the invention of the first blue jeans with copper rivets."
Architecture,"The Lotus Temple in New Delhi is notable for its flowerlike shape and has won numerous architectural awards."
Travel,"Venice is built on 118 small islands that are separated by canals and linked by over 400 bridges."
Gaming,"The first video game, 'Pong', was created by Nolan Bushnell and Ted Dabney in 1972, kickstarting the arcade video game industry."
Science,"Black holes can spin at nearly the speed of light, creating intense gravitational forces."
Space,"The Oort Cloud, surrounding our solar system, is thought to be the source of long-period comets."
History,"The Silk Road was an ancient network of trade routes that connected the East and West of the classical world."
Biology,"The Turritopsis dohrnii jellyfish is known as the 'immortal jellyfish' because it can revert back to its juvenile polyp stage after reaching maturity."
Technology,"Wi-Fi technology was partly developed by an invention from the 1940s that was intended for radar use, credited to actress Hedy Lamarr and composer George Antheil."
Geography,"The Sahara Desert is roughly the same size as the United States, making it the largest hot desert in the world."
Mathematics,"The Monty Hall Problem is a famous statistical puzzle that demonstrates a counterintuitive fact about probability and choice."
Literature,"'Moby-Dick' by Herman Melville was initially a commercial failure but is now considered a masterpiece of American literature."
Sports,"The original Olympic Games in ancient Greece were held every four years, a period known as an Olympiad."
Music,"The world's longest music performance is taking place in Halberstadt, Germany, and is scheduled to last for 639 years, ending in 2640."
Animals,"Sloths move so slowly that algae can grow on their fur, which can act as camouflage."
Cinema,"Walt Disney was awarded a special Oscar for 'Snow White and the Seven Dwarfs', which included one full-sized statuette and seven miniature ones."
Food,"Casu marzu is a Sardinian cheese that contains live insect larvae. It's considered a delicacy."
Art,"Leonardo da Vinci's 'The Last Supper' has survived two World War bombings and several restoration attempts."
Economics,"Hyperinflation in Zimbabwe reached such extreme levels that 100 trillion Zimbabwean dollar banknotes were issued."
Physics,"The concept of dark matter was introduced to explain why galaxies do not seem to obey the known laws of physics."
Chemistry,"Buckminsterfullerene, or 'buckyballs', are molecules composed entirely of carbon, in the form of a hollow sphere, ellipsoid, or tube."
Medical,"The discovery of the CRISPR-Cas9 gene editing technology has revolutionized the field of genetic engineering."
Environmental,"The Chernobyl disaster in 1986 is considered the worst nuclear power plant accident in history, both in cost and casualties."
Psychology,"The Dunning-Kruger effect is a cognitive bias wherein people with limited knowledge or competence in a domain overestimate their own ability."
Linguistics,"The Pirahã language, spoken by a small indigenous group in the Amazon, is famous for having no fixed terms for colors and no concept of counting."
Astronomy,"The 'Pillars of Creation' are part of the Eagle Nebula and are so named for their tall, pillar-like structures made of interstellar gas and dust."
Entertainment,"The first feature-length animated movie ever made, pre-dating Disney, was 'El Apóstol' from Argentina in 1917."
Political Science,"The Peace of Westphalia in 1648 ended the Thirty Years' War in Europe and is often cited as the beginning of the modern state system."
Sociology,"The concept of 'McDonaldization' describes the process by which the principles of the fast-food restaurant are coming to dominate more sectors of society."
Philosophy,"Søren Kierkegaard is considered the father of existentialism, emphasizing individual freedom and choice."
Fashion,"The first fashion magazine is thought to have been 'Le Mercure Galant', published in France in 1672."
Architecture,"Fallingwater, designed by Frank Lloyd Wright in 1935, is one of the most famous examples of architecture that is harmonious with its natural surroundings."
Travel,"The Trans-Siberian Railway connects Moscow with the Russian Far East and is the longest railway line in the world."
Gaming,"'Spacewar!' is one of the earliest known digital computer games, developed in 1962 at MIT."
Science,"The human eye can distinguish about 10 million different colors."
Space,"Voyager 1 is the first human-made object to leave our solar system, entering interstellar space in 2012."
History,"The oldest known musical instruments are flutes made from bird bone and mammoth ivory, found in a cave in Germany and dated to about 35,000 years ago."
Biology,"Some species of deep-sea fish can live in environments with pressures over 800 times that at sea level."
Technology,"3D printing technology has been used to create everything from prosthetic limbs to entire houses."
Geography,"The Mariana Trench is the deepest part of the world's oceans, and its deepest point, the Challenger Deep, is about 36,070 feet (nearly 11,000 meters) deep."
Mathematics,"Zero was not treated as a number by Europeans until the 12th century, after being introduced to them by Arabic mathematicians."
Literature,"The first novel ever written on a typewriter was 'The Adventures of Tom Sawyer' by Mark Twain."
Sports,"In 1912, Olympic pentathletes competed in five events: pistol shooting, fencing, swimming, horseback riding, and running."
Music,"The first opera in history was 'Dafne' composed by Jacopo Peri in the late 16th century in Italy."
Animals,"The mantis shrimp has the world's fastest punch, traveling at about 50 miles per hour."
Cinema,"The first public movie theater, called a Nickelodeon, opened in Pittsburgh in 1905."
Food,"The first recorded recipe was written on a Sumerian tablet in 1750 BC."
Art,"The oldest known cave paintings are over 40,000 years old, found in the Cave of El Castillo in Spain."
Economics,"The Tulip Mania of the 1630s is often considered the first recorded speculative bubble."
Physics,"Absolute zero, the lowest possible temperature where nothing could be colder and no heat energy remains in a substance, is 0 Kelvin, or -273.15°C."
Chemistry,"The heaviest naturally occurring element is Uranium, with an atomic number of 92."
Medical,"The concept of quarantine began in the 14th century in an effort to protect coastal cities from plague epidemics."
Environmental,"Bioluminescence is the production and emission of light by a living organism, commonly seen in deep sea creatures."
Psychology,"B.F. Skinner's experiments with pigeons showed that behaviors could be taught using reinforcement, a concept known as operant conditioning."
Linguistics,"The longest word in the Oxford English Dictionary is 'pneumonoultramicroscopicsilicovolcanoconiosis', a type of lung disease."
Astronomy,"The largest known star, UY Scuti, is about 1,700 times larger than the sun."
Entertainment,"The first color TV broadcast took place in 1954 during the Tournament of Roses Parade."
Political Science,"Jean-Jacques Rousseau's 'The Social Contract' argued that government's legitimacy comes from the consent of the governed."
Sociology,"The concept of the 'self-fulfilling prophecy' shows how belief and behavior can influence outcomes to align with predictions."
Philosophy,"The 'Allegory of the Cave' is Plato's philosophical argument that real knowledge comes not from sensory experience but from philosophical reasoning."
Fashion,"The first documented instance of high heels comes from the 10th century Persia, used by soldiers to help secure their feet in stirrups."
Architecture,"The world's first skyscraper, the Home Insurance Building, was built in Chicago in 1885 and was 10 stories tall."
Travel,"The concept of time zones was proposed by Sir Sandford Fleming in the late 19th century to standardize time across the world."
Gaming,"The first commercial home video game console was the Magnavox Odyssey, released in 1972."
Science,"The only place in the universe where we know life exists is on Earth, making it uniquely significant in the vast cosmos."
Space,"Saturn isn't the only ringed planet in our solar system; Jupiter, Uranus, and Neptune also have rings, though less prominent."
History,"The first known democracy in the world was established in Athens, Greece, around 508-507 BC."
Biology,"The axolotl, a type of salamander, has the remarkable ability to regenerate not just its tail but also limbs, heart, and even parts of its brain after injury."
Technology,"The Internet originated from a U.S. Department of Defense project called ARPANET in the 1960s, intended to create a network that could survive significant outages."
Geography,"Canada has the longest coastline of any country in the world, stretching over 202,080 kilometers (125,567 miles)."
Mathematics,"The Mandelbrot Set, named after mathematician Benoit Mandelbrot, is a famous example of a fractal in mathematics, displaying an infinitely complex structure that repeats at every scale."
Literature,"The 'Epic of Gilgamesh', written in ancient Mesopotamia, is one of the earliest known works of literary fiction, dating back to approximately 2100 BC."
Sports,"The modern Olympic Games were revived in 1896 in Athens, Greece, inspired by the ancient Olympic Games held in Olympia."
Music,"A Stradivarius violin, made by members of the Stradivari family, especially Antonio Stradivari, during the 17th and 18th centuries, is one of the most valuable and sought-after musical instruments."
Animals,"The Peregrine Falcon is the fastest bird, reaching speeds over 240 miles per hour during its hunting stoop (high-speed dive)."
Cinema,"The first known feature film made was the Australian film 'The Story of the Kelly Gang' in 1906."
Food,"Tomatoes were once believed to be poisonous in Europe until the 18th century due to their belonging to the nightshade family."
Art,"The oldest known prehistoric art, the Chauvet Cave paintings in France, are estimated to be about 32,000 years old."
Economics,"'Cryptocurrency' is a digital or virtual currency that uses cryptography for security, with Bitcoin being the first and most well-known example, created in 2009."
Physics,"Quantum mechanics challenges classical physics with principles like superposition and entanglement, suggesting particles can exist in multiple states at once and instantaneously affect each other, regardless of distance."
Chemistry,"The periodic table was created by Dmitri Mendeleev in 1869, organizing chemical elements by their atomic number, electron configurations, and recurring properties."
Medical,"The Human Genome Project, completed in 2003, mapped and sequenced the entire human genome, consisting of over 3 billion DNA base pairs."
Environmental,"Climate change, caused by human activities, is leading to global warming and shifting weather patterns, affecting ecosystems, sea levels, and biodiversity worldwide."
Psychology,"'Cognitive dissonance' is a psychological concept introduced by Leon Festinger in 1957, describing the mental discomfort experienced when holding conflicting beliefs, attitudes, or values."
Linguistics,"Pidgin languages are simplified means of linguistic communication, developed between two or more groups that do not have a language in common."
Astronomy,"There are an estimated 100 billion to 200 billion galaxies in the observable universe."
Entertainment,"The Grammy Awards were established in 1959 by the Recording Academy to recognize achievements in the music industry."
Political Science,"The 'Iron Curtain' was a term used by Winston Churchill in 1946 to describe the division between Western powers and the area controlled by the Soviet Union in Europe."
Sociology,"'Social mobility' refers to the ability to move within the social hierarchy, which can be influenced by factors such as education, income, and wealth."
Philosophy,"Stoicism, founded in Athens by Zeno of Citium in the early 3rd century BC, teaches the development of self-control and fortitude as a means of overcoming destructive emotions."
Fashion,"The little black dress, popularized by Coco Chanel in the 1920s, became a staple of versatility, affordable luxury, and enduring style."
Architecture,"Brutalism is an architectural style that emerged in the 1950s, characterized by minimalist constructions that showcase the bare building materials and structural elements over decorative design."
Travel,"The Silk Road was an ancient network of trade routes that for centuries facilitated the exchange of goods and cultural ideas across Asia, reaching from the Korean peninsula and Japan to the Mediterranean Sea."
Gaming,"'Pac-Man', released in 1980, became one of the most iconic video games of all time, influencing pop culture and the gaming industry for decades.
Science,"Venom from the Brazilian wandering spider can cause priapism in humans, leading to potential medical applications."
Space,"The ice geysers on Saturn's moon Enceladus shoot water vapor and ice particles into space, suggesting an underground ocean."
History,"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was actually Greek, not Egyptian."
Biology,"The giant sequoia tree, known for its immense size, has a very shallow root system, with no taproots."
Technology,"The first wearable computer was a roulette-predicting device created by Edward O. Thorp and Claude Shannon in the 1960s."
Geography,"Vatican City is the smallest country in the world, encompassing just over 100 acres."
Mathematics,"'Imaginary numbers' were once thought to be impossible, and are now fundamental in describing the physical world, especially in electronics and signal processing."
Literature,"The 'Voynich Manuscript' is an illustrated codex hand-written in an unknown writing system, carbon-dated to the early 15th century."
Sports,"The first Paralympic Games were held in Rome in 1960, featuring 400 athletes from 23 countries."
Music,"The 'Amen Break', a six-second drum break, is one of the most sampled loops in music history, originating from the song 'Amen, Brother' by The Winstons."
Animals,"The platypus is one of the few mammals that lay eggs instead of giving birth to live young."
Cinema,"The term 'blockbuster' originally referred to a type of bomb during WWII, before becoming associated with highly successful movies."
Food,"MSG (Monosodium Glutamate) is a flavor enhancer that's actually naturally present in foods like tomatoes and cheese."
Art,"Banksy, an England-based street artist, remains anonymous, despite his worldwide fame."
Economics,"Microfinance is a type of banking service provided to unemployed or low-income individuals or groups who have no other access to financial services."
Physics,"The double-slit experiment demonstrates that light and matter can display characteristics of both classically defined waves and particles."
Chemistry,"The hottest chili pepper in the world, according to the Scoville scale, is the Carolina Reaper."
Medical,"The use of leeches in medical treatment, known as hirudotherapy, can improve blood circulation and prevent tissue death."
Environmental,"The concept of 'Earth Overshoot Day' marks the date when humanity's demand for ecological resources and services exceeds what Earth can regenerate in that year."
Psychology,"The 'Stanford marshmallow experiment' studied delayed gratification in children and its impact on success later in life."
Linguistics,"The whistled language of Silbo Gomero on the Canary Islands is used to communicate across the deep valleys and ravines."
Astronomy,"The first confirmed exoplanet was discovered in 1992, orbiting a pulsar."
Entertainment,"The longest-running Broadway musical is 'The Phantom of the Opera', which opened in 1988."
Political Science,"The 'Butterfly Effect' in chaos theory was popularized by Edward Lorenz, demonstrating how small changes in a deterministic nonlinear system can lead to large differences in a later state."
Sociology,"'Cultural lag' refers to the period of maladjustment when the non-material culture is struggling to adapt to new material conditions."
Philosophy,"The 'Trolley Problem' is a thought experiment in ethics and psychology, exploring the dilemma of killing one person to save many others."
Fashion,"The first recorded use of a wedding dress is from 1406, worn by Princess Philippa of England at her wedding to Eric of Pomerania."
Architecture,"The concept of sustainable architecture seeks to minimize the negative environmental impact of buildings by efficiency and moderation in the use of materials, energy, and development space."
Travel,"The 'Door to Hell' is a natural gas field in Derweze, Turkmenistan, that has been burning continuously since it was lit by Soviet petrochemical scientists in 1971."
Gaming,"The original concept of 'Nintendo' was a playing card company founded in 1889 before evolving into one of the largest video game companies in the world."
